setting,accuracy,auc,n
clean,0.91795,0.976330325,20000
jpeg_90,0.91885,0.9759209600000001,20000
jpeg_70,0.9195,0.9758839300000001,20000
jpeg_50,0.90195,0.96897817,20000
jpeg_30,0.89235,0.9582732700000001,20000
blur_0.5,0.9165,0.973947455,20000
blur_1.0,0.88465,0.95470152,20000
blur_2.0,0.8129,0.8962619700000001,20000
resize_0.5,0.86605,0.9405906850000001,20000
resize_0.25,0.7747,0.858174285,20000
noise_0.02,0.91025,0.972066695,20000
noise_0.05,0.88135,0.9587006349999999,20000
noise_0.1,0.83115,0.9340789199999999,20000
color_jitter_0.2,0.9165,0.976521125,20000
center_crop_0.8,0.88305,0.956064225,20000
