setting,accuracy,auc,n
clean,0.97580,0.997502,20000
jpeg_90,0.97625,0.997247,20000
jpeg_70,0.97305,0.997312,20000
jpeg_50,0.96395,0.994430,20000
jpeg_30,0.95145,0.990131,20000
blur_0.5,0.96190,0.995349,20000
blur_1.0,0.93665,0.985439,20000
blur_2.0,0.89645,0.962786,20000
resize_0.5,0.92210,0.980093,20000
resize_0.25,0.87545,0.948281,20000
noise_0.02,0.97110,0.996424,20000
noise_0.05,0.96215,0.993704,20000
noise_0.1,0.93230,0.984078,20000
color_jitter_0.2,0.96565,0.995170,20000
center_crop_0.8,0.93405,0.983112,20000
